Customer_ID,First_Name,Last_Name,Email,Phone,City,State,Country,Signup_Date,Status
1,Robert,Taylor,robert.taylor@example.com,9149316614,Houston,KA,USA,2021-06-27,Active
2,David,Johnson,david.johnson@gmail.com,6442606046,Phoenix,NY,USA,2021-04-02,Pending
3,Anna,,anna.test@gmail.com,6664827757,Chicago,IL,India,2023-07-27,Pending
4,Chris,Harris,chris.harris@,7980141670,Delhi,AZ,UK,2023-04-30,Pending
5,Michael,Smith,michael.smith@mail.com,7494713599,Phoenix,NY,UK,2019-08-13,Active
6,Amit,,amit.test@,7625481785,Delhi,DL,India,2023-04-11,Pending
7,Amit,,amit.test@yahoo.com,9394456234,Los Angeles,DL,USA,2020-07-11,Inactive
8,Rahul,Brown,rahul.brown@yahoo.com,8509333780,Chicago,MH,USA,2020-01-05,Pending
9,Priya,White,priya.white@example.com,8570932845,Bangalore,KA,UK,2023-08-27,Pending
,Sarah,Jackson,sarah.jackson@example.com,8987685319,Bangalore,BR,UK,2022-10-08,Active
11,Michael,Harris,michael.harris@gmail.com,9165378878,New York,MH,USA,2022-07-26,Pending
12,Neha,Taylor,,9877401593,Houston,KA,UK,2023-11-10,Active
13,Chris,Martin,,8363352634,Patna,NY,UK,2021-03-10,Active
14,,,user.test@,6408269768,Bangalore,AZ,India,2020-05-13,Pending
15,Jane,Anderson,jane.anderson@example.com,9183837950,Houston,MH,India,2020-02-05,Inactive
16,Anna,Smith,anna.smith@gmail.com,8298725759,Houston,IL,India,2020-04-14,Pending
17,,,,6421658160,Houston,NY,UK,2024-04-22,Inactive
18,Sarah,,sarah.test@example.com,9744325195,Los Angeles,IL,USA,2019-03-20,Pending
19,,Thomas,,8271733396,Mumbai,DL,India,2021-06-07,Active
20,Neha,Kumar,neha.kumar@example.com,7189753381,Patna,CA,India,2022-08-05,Active
21,Linda,Johnson,linda.johnson@yahoo.com,9020023070,Los Angeles,CA,USA,2020-04-10,Inactive
22,Neha,,neha.test@yahoo.com,8637171971,Los Angeles,NY,India,2021-10-14,Active
23,Michael,Sharma,,9284221921,Patna,TX,USA,2021-08-03,Pending
24,Michael,Smith,michael.smith@gmail.com,7736478925,Los Angeles,TX,USA,2023-03-12,Inactive
25,Linda,White,linda.white@example.com,8379813343,Patna,KA,India,2021-11-03,Pending
26,Amit,Smith,amit.smith@,8650438374,Patna,IL,India,2021-01-23,Active
27,Emily,,,6754338307,Mumbai,CA,USA,2021-04-07,Active
28,Rahul,Taylor,rahul.taylor@,6166989149,Houston,MH,UK,2023-07-20,Active
29,Neha,Thomas,neha.thomas@mail.com,8129230702,Bangalore,MH,UK,2020-12-13,Active
30,Priya,,,6842786246,Bangalore,CA,USA,2019-09-18,Inactive
31,David,Harris,david.harris@,9351506748,Houston,CA,UK,2019-11-02,Pending
32,Emily,Harris,emily.harris@yahoo.com,8105721717,Houston,TX,UK,2022-12-27,Active
33,Amit,Brown,amit.brown@gmail.com,6119478247,Patna,NY,UK,2021-02-20,Inactive
34,Jane,Anderson,jane.anderson@mail.com,7936736004,Los Angeles,KA,India,2022-03-30,Pending
35,Amit,,,8878882941,Chicago,KA,India,2022-06-24,Active
36,,Jackson,user.jackson@example.com,8852784426,Chicago,TX,UK,2022-02-11,Pending
37,,Kumar,user.kumar@mail.com,7232545422,Mumbai,MH,India,2021-07-07,Active
38,,Thomas,user.thomas@yahoo.com,7605707042,Delhi,NY,India,2019-01-03,Active
39,Linda,Smith,,6043520571,Mumbai,MH,UK,2020-03-03,Inactive
40,David,Kumar,david.kumar@yahoo.com,7890751797,New York,IL,USA,2023-09-08,Inactive
41,Chris,Smith,chris.smith@gmail.com,8612066243,Delhi,DL,UK,2021-05-05,Inactive
42,Priya,Sharma,priya.sharma@gmail.com,7531148491,New York,IL,UK,2022-07-17,Active
43,,Johnson,user.johnson@gmail.com,6360696011,Mumbai,CA,USA,2022-11-17,Active
44,,Smith,user.smith@mail.com,6984178497,New York,CA,USA,2021-10-29,Pending
45,Rahul,Taylor,rahul.taylor@gmail.com,9846926929,Chicago,BR,USA,2021-07-17,Active
,,Jackson,user.jackson@gmail.com,6804783965,Chicago,MH,UK,2020-10-18,Pending
47,Chris,Smith,,7045726527,Bangalore,DL,UK,2020-03-28,Active
48,Emily,Brown,emily.brown@yahoo.com,9650244509,Phoenix,IL,USA,2020-12-15,Active
49,Michael,Thomas,michael.thomas@,8966703372,Bangalore,MH,India,2021-05-15,Active
50,Priya,White,priya.white@example.com,8611626483,New York,MH,USA,2024-06-15,Pending
51,Neha,White,neha.white@example.com,9539421084,Bangalore,IL,India,2020-02-26,Inactive
52,Michael,Anderson,,8928913908,New York,AZ,UK,2020-05-10,Pending
53,John,Harris,,8947831638,Phoenix,TX,UK,2024-04-07,Inactive
54,Neha,Jackson,neha.jackson@gmail.com,7642786477,Patna,DL,India,2021-12-20,Active
55,,Anderson,user.anderson@mail.com,7690801282,Delhi,AZ,USA,2019-01-10,Pending
,Neha,Harris,neha.harris@yahoo.com,9934772354,Patna,CA,India,2019-08-13,Inactive
57,Jane,Brown,,8917501785,Los Angeles,DL,India,2020-09-17,Active
58,Chris,Harris,,8777712845,Delhi,MH,USA,2020-08-23,Active
59,,,user.test@gmail.com,8012070887,Delhi,MH,UK,2020-05-21,Pending
60,Neha,Sharma,neha.sharma@gmail.com,8800209675,Bangalore,CA,India,2024-06-05,Active
61,Priya,Martin,,9062677844,Phoenix,TX,USA,2023-11-12,Inactive
62,,Martin,,7164570866,Bangalore,DL,UK,2019-05-03,Inactive
63,David,Martin,david.martin@,7397601160,Phoenix,IL,USA,2020-10-27,Pending
64,Amit,Jackson,amit.jackson@mail.com,9001302014,Delhi,TX,India,2019-06-16,Active
65,,Martin,user.martin@mail.com,7835045238,New York,TX,USA,2021-01-08,Active
66,John,,,9803089569,Mumbai,IL,UK,2019-03-28,Active
67,Michael,Anderson,,9933875124,Delhi,TX,UK,2019-12-31,Inactive
,Robert,Taylor,robert.taylor@yahoo.com,6523423551,Los Angeles,NY,UK,2021-04-11,Pending
69,Priya,Jackson,priya.jackson@yahoo.com,6582386460,Bangalore,IL,USA,2021-07-15,Inactive
70,Robert,Smith,robert.smith@example.com,9252770160,Houston,DL,UK,2020-03-20,Inactive
71,David,Anderson,david.anderson@yahoo.com,9675964199,Delhi,KA,India,2021-12-17,Pending
72,Linda,Kumar,linda.kumar@yahoo.com,9997978228,New York,KA,USA,2022-11-24,Active
73,Rahul,Jackson,,6799497543,New York,NY,UK,2023-07-14,Pending
74,Sarah,Thomas,sarah.thomas@yahoo.com,8353740144,Houston,TX,India,2019-09-17,Pending
75,Emily,Sharma,emily.sharma@gmail.com,9477074086,New York,NY,UK,2022-12-13,Inactive
76,John,Johnson,john.johnson@yahoo.com,8749993458,Delhi,DL,India,2023-01-04,Inactive
77,Robert,Anderson,robert.anderson@yahoo.com,7218856022,Delhi,AZ,UK,2023-04-15,Pending
78,Amit,Martin,amit.martin@mail.com,8386685059,Chicago,DL,UK,2019-01-18,Pending
79,Linda,Brown,linda.brown@mail.com,6435469698,Delhi,IL,UK,2020-05-18,Pending
80,Rahul,Brown,rahul.brown@,8152290979,Chicago,BR,India,2023-10-20,Active
,Sarah,Thomas,sarah.thomas@yahoo.com,6692249415,Chicago,CA,UK,2020-06-12,Pending
82,Linda,,linda.test@example.com,7700867642,Mumbai,BR,UK,2023-02-22,Active
83,John,Harris,john.harris@,6705430579,Phoenix,MH,India,2024-02-26,Inactive
84,,Taylor,user.taylor@example.com,6404290078,Phoenix,MH,UK,2019-11-21,Pending
85,John,Harris,john.harris@yahoo.com,8744158306,Houston,NY,USA,2020-03-22,Pending
86,Rahul,Sharma,rahul.sharma@mail.com,7784850117,New York,DL,India,2021-08-31,Pending
,,Johnson,user.johnson@gmail.com,9624864133,Patna,IL,India,2019-08-31,Pending
88,Priya,Brown,priya.brown@,6779007794,Patna,AZ,UK,2022-07-09,Pending
89,David,,,6707200954,Houston,IL,India,2019-11-12,Active
90,Michael,Brown,michael.brown@mail.com,6327145121,Delhi,TX,USA,2022-11-27,Pending
,Anna,Thomas,anna.thomas@example.com,6918611721,Delhi,NY,UK,2019-04-02,Inactive
92,Sarah,Martin,sarah.martin@yahoo.com,9108210087,Delhi,NY,USA,2024-05-31,Inactive
93,Neha,Johnson,,7404509673,Los Angeles,DL,UK,2020-08-30,Pending
94,Anna,Thomas,anna.thomas@,9968815099,Delhi,IL,USA,2021-06-19,Inactive
95,Rahul,Anderson,,9584027814,Chicago,MH,USA,2021-10-21,Pending
,,Harris,user.harris@gmail.com,9022327193,Bangalore,IL,USA,2020-03-27,Active
97,Michael,White,michael.white@,8897265286,Houston,DL,UK,2021-10-04,Inactive
98,John,White,john.white@yahoo.com,6754418059,Los Angeles,KA,UK,2019-12-31,Inactive
99,Priya,Taylor,priya.taylor@mail.com,7002258529,Los Angeles,KA,USA,2023-05-28,Active
100,Sarah,Jackson,sarah.jackson@example.com,6192053311,Delhi,DL,UK,2023-08-10,Inactive
101,Priya,Martin,priya.martin@gmail.com,6805048475,Mumbai,IL,UK,2020-11-02,Pending
102,Neha,Kumar,neha.kumar@mail.com,8345738295,Houston,MH,UK,2023-08-04,Pending
103,Emily,Smith,emily.smith@yahoo.com,8464816346,Los Angeles,BR,USA,2022-08-17,Pending
104,Amit,White,amit.white@example.com,8061352644,Delhi,NY,UK,2024-03-15,Pending
105,,White,user.white@mail.com,9018554446,Chicago,BR,USA,2021-06-14,Active
106,Sarah,,sarah.test@yahoo.com,8690306605,Patna,NY,UK,2022-06-08,Pending
107,,Kumar,user.kumar@gmail.com,8050911751,Phoenix,KA,India,2020-03-28,Active
108,Linda,Thomas,linda.thomas@yahoo.com,9268969435,Phoenix,KA,UK,2021-05-30,Pending
109,Jane,,jane.test@example.com,9597070838,Patna,AZ,UK,2020-05-19,Active
110,Michael,Thomas,michael.thomas@gmail.com,6469645997,Phoenix,NY,USA,2024-03-13,Inactive
111,John,Kumar,john.kumar@yahoo.com,8240848153,Mumbai,CA,UK,2019-02-13,Pending
112,Linda,Taylor,linda.taylor@gmail.com,9062335224,Chicago,DL,India,2023-11-13,Pending
113,Emily,Thomas,,6800918199,Mumbai,TX,USA,2022-01-08,Pending
114,David,Thomas,david.thomas@yahoo.com,7606648218,Los Angeles,BR,UK,2022-06-15,Inactive
115,Linda,Sharma,linda.sharma@example.com,8722408799,Mumbai,DL,USA,2023-08-18,Active
116,Jane,Martin,jane.martin@yahoo.com,8667509827,Los Angeles,AZ,UK,2023-05-24,Pending
117,Jane,Martin,jane.martin@yahoo.com,7461406838,Bangalore,MH,India,2021-01-15,Pending
118,Anna,Martin,anna.martin@mail.com,6052655896,Mumbai,DL,India,2021-08-14,Pending
119,Rahul,Johnson,rahul.johnson@mail.com,7633332308,Phoenix,IL,India,2022-09-16,Inactive
120,Amit,Taylor,amit.taylor@mail.com,8109424705,Phoenix,AZ,UK,2022-06-17,Active
121,Emily,Smith,emily.smith@gmail.com,9524314979,Patna,CA,India,2020-09-13,Pending
122,Anna,,anna.test@mail.com,7115663182,Los Angeles,AZ,India,2022-03-05,Inactive
123,Michael,Kumar,michael.kumar@mail.com,8705747382,Patna,TX,USA,2023-02-21,Pending
,David,Smith,david.smith@example.com,7453075644,Bangalore,TX,India,2024-04-18,Inactive
,Amit,Kumar,amit.kumar@gmail.com,9859580752,Chicago,CA,USA,2020-07-04,Inactive
126,Neha,Johnson,neha.johnson@example.com,7606644965,Bangalore,CA,UK,2023-01-29,Active
127,Chris,Johnson,chris.johnson@example.com,9645815088,Chicago,DL,USA,2020-04-15,Active
128,Michael,Sharma,,9000940574,Houston,BR,USA,2019-05-03,Pending
129,Emily,,emily.test@mail.com,8747571982,New York,IL,UK,2022-11-28,Inactive
130,Priya,Kumar,priya.kumar@mail.com,9737169222,Bangalore,NY,USA,2020-03-14,Inactive
131,,Jackson,,7537878615,Houston,TX,USA,2024-05-28,Inactive
132,John,White,john.white@gmail.com,6650347766,Patna,TX,UK,2021-12-21,Active
133,Neha,Harris,,8291419119,Bangalore,TX,India,2020-09-22,Active
,Robert,Thomas,robert.thomas@mail.com,9090712686,Mumbai,BR,UK,2023-03-27,Inactive
,Neha,Jackson,neha.jackson@gmail.com,8751681703,Mumbai,AZ,India,2024-01-06,Active
136,Amit,Anderson,amit.anderson@example.com,7778099817,Chicago,AZ,India,2020-02-17,Pending
137,Priya,Jackson,priya.jackson@,8215044516,Houston,AZ,USA,2020-01-19,Pending
138,Chris,Anderson,chris.anderson@gmail.com,8939795491,Delhi,KA,UK,2023-10-09,Inactive
139,Linda,Harris,linda.harris@mail.com,6051975911,Delhi,TX,UK,2019-06-16,Pending
140,Sarah,Taylor,sarah.taylor@,9780357164,Patna,NY,India,2021-10-05,Active
141,Chris,Kumar,chris.kumar@mail.com,6446199030,Phoenix,BR,India,2021-11-17,Inactive
142,,Kumar,user.kumar@yahoo.com,6167507266,Phoenix,DL,UK,2022-07-14,Pending
143,Anna,Anderson,anna.anderson@,9862280551,Los Angeles,DL,USA,2019-12-06,Inactive
144,Jane,Harris,jane.harris@mail.com,8173093491,Patna,DL,UK,2022-11-17,Active
145,,Johnson,user.johnson@yahoo.com,9896121707,Chicago,IL,India,2020-12-11,Inactive
146,Linda,Smith,linda.smith@example.com,9114844692,Phoenix,NY,India,2024-06-17,Active
147,Robert,,,6533381574,New York,AZ,USA,2022-07-02,Active
148,Neha,,neha.test@yahoo.com,7766567130,Los Angeles,AZ,India,2020-10-15,Active
149,Sarah,Brown,sarah.brown@example.com,6140542778,Patna,IL,India,2024-06-17,Active
150,Robert,,,8146119915,Chicago,DL,India,2021-06-16,Inactive
151,Robert,Taylor,robert.taylor@mail.com,7770776979,Chicago,AZ,UK,2019-07-27,Inactive
152,Anna,Johnson,,8809491331,Los Angeles,DL,UK,2021-08-08,Active
153,Rahul,Martin,rahul.martin@yahoo.com,6430226911,Mumbai,TX,UK,2020-04-13,Inactive
154,,,user.test@yahoo.com,7944554719,Los Angeles,KA,India,2021-09-16,Inactive
155,Chris,Kumar,chris.kumar@example.com,8287730485,Mumbai,NY,India,2020-01-26,Pending
156,Emily,Brown,,7653565926,Bangalore,DL,UK,2022-05-23,Active
157,David,Brown,david.brown@,7849381041,Delhi,KA,India,2022-03-16,Pending
158,Jane,,jane.test@example.com,9088729439,Phoenix,KA,UK,2020-11-08,Active
159,Priya,Taylor,priya.taylor@mail.com,6448227978,Bangalore,BR,India,2021-08-19,Inactive
160,Amit,Taylor,amit.taylor@mail.com,8835524484,Phoenix,CA,UK,2024-05-17,Active
161,,Thomas,user.thomas@gmail.com,9574653043,New York,BR,India,2022-07-29,Pending
162,Michael,Thomas,michael.thomas@example.com,8719345753,Delhi,IL,UK,2023-06-15,Inactive
163,Amit,Harris,amit.harris@yahoo.com,8205789917,Los Angeles,NY,India,2023-03-04,Active
164,,Sharma,user.sharma@yahoo.com,6170781810,Mumbai,TX,UK,2021-03-03,Inactive
165,David,Martin,david.martin@yahoo.com,7666615224,Los Angeles,BR,USA,2019-04-18,Active
166,Michael,,michael.test@gmail.com,6964071077,Delhi,KA,USA,2021-01-01,Inactive
167,Robert,Taylor,robert.taylor@gmail.com,9283016020,Houston,KA,India,2022-12-09,Inactive
168,,Thomas,,7911981439,Bangalore,CA,India,2020-02-05,Active
169,Chris,Anderson,chris.anderson@yahoo.com,7202879171,Los Angeles,IL,India,2022-11-10,Pending
170,Jane,,,7870849081,New York,DL,India,2021-02-14,Pending
171,Michael,Sharma,michael.sharma@,9740782634,New York,BR,UK,2023-07-28,Inactive
172,Emily,Kumar,emily.kumar@gmail.com,7685616814,Los Angeles,TX,India,2023-10-22,Pending
173,Rahul,Sharma,,7123561564,Mumbai,AZ,UK,2023-06-06,Pending
174,Michael,Taylor,michael.taylor@gmail.com,7723916100,New York,CA,India,2019-01-15,Active
175,John,Martin,john.martin@mail.com,7874635718,Mumbai,DL,UK,2023-09-08,Active
176,Sarah,Kumar,sarah.kumar@example.com,9166100067,Houston,AZ,India,2021-06-03,Active
,,Smith,user.smith@mail.com,7346744294,Houston,NY,India,2023-08-14,Active
178,Emily,White,emily.white@,7533792925,New York,AZ,UK,2019-08-22,Pending
179,,White,user.white@mail.com,9042532594,New York,CA,India,2019-03-03,Pending
180,Chris,,chris.test@example.com,6690166028,Delhi,TX,UK,2019-02-24,Inactive
181,Robert,Smith,robert.smith@mail.com,9872312055,Patna,KA,India,2020-09-12,Inactive
182,Robert,Thomas,robert.thomas@,8755609606,Patna,BR,India,2022-10-30,Active
183,Sarah,Brown,sarah.brown@,6481236278,Los Angeles,NY,UK,2021-06-26,Active
184,Jane,,jane.test@mail.com,9955083246,Mumbai,IL,UK,2019-04-21,Inactive
185,Linda,Taylor,linda.taylor@mail.com,8549445925,Houston,KA,India,2022-10-20,Pending
186,Robert,Taylor,robert.taylor@example.com,7855723948,Houston,KA,USA,2019-07-28,Pending
187,Robert,Taylor,,8384057056,Los Angeles,DL,UK,2020-12-13,Inactive
188,Amit,Martin,,9928175315,Delhi,CA,UK,2020-03-04,Active
,,Smith,user.smith@mail.com,6104531149,Houston,BR,USA,2020-02-18,Pending
190,Linda,Harris,linda.harris@example.com,6714436406,Patna,IL,India,2019-03-04,Inactive
191,Neha,Martin,neha.martin@yahoo.com,7164439160,Chicago,AZ,USA,2019-03-19,Pending
192,Michael,Johnson,michael.johnson@gmail.com,6593368320,Chicago,KA,India,2022-04-28,Inactive
193,Sarah,Taylor,sarah.taylor@yahoo.com,7094069904,Chicago,MH,USA,2020-10-10,Active
194,,Harris,user.harris@gmail.com,9849058947,Delhi,TX,USA,2023-01-24,Active
195,Rahul,Anderson,rahul.anderson@yahoo.com,8014221527,Mumbai,DL,USA,2019-10-16,Active
196,Amit,,amit.test@mail.com,8083143430,Los Angeles,TX,India,2022-07-22,Active
197,Michael,,michael.test@example.com,7738524355,Mumbai,TX,UK,2023-04-18,Active
198,,Brown,,6445424836,Mumbai,CA,USA,2020-07-08,Active
